Student.ID,Month,Grade,Monthly.Reading.Score,Monthly.Math.Score,Color
100115087,9/1/2015,3,10,11,Yellow
100115087,10/1/2015,3,10,11,Green
100115087,1/1/2016,3,12,12,Green
100115087,2/1/2016,3,13,12,Green
100115087,3/1/2016,3,14,12,Green
100115065,9/1/2015,3,14,9,Green
100115065,10/1/2015,3,15,9,Green
100115065,1/1/2016,3,16,9,Green
100115065,2/1/2016,3,16,9,Green
100115065,3/1/2016,3,17,9,Green
100115065,4/1/2016,3,17,12,Green
100115863,9/1/2015,3,9,11,Yellow
100115863,10/1/2015,3,9,11,Yellow
100115863,1/1/2016,3,10,11,Red
100115863,2/1/2016,3,11,11,Red
100115863,3/1/2016,3,12,11,Red
100115048,9/1/2015,3,7,9,Red
100115048,10/1/2015,3,8,9,Red
100115048,1/1/2016,3,10,9,Red
100115048,2/1/2016,3,10,9,Red
100115048,3/1/2016,3,10,9,Red
100115048,4/1/2016,3,11,9,Red
100115048,5/1/2016,3,11,9,Red
100115048,6/1/2016,3,11,9,Yellow
100115104,9/1/2015,3,9,8,Yellow
100115104,10/1/2015,3,9,8,Yellow
100115104,1/1/2016,3,10,9,Red
100115104,2/1/2016,3,10,9,Red
100115104,3/1/2016,3,11,9,Red
100115104,4/1/2016,3,11,12,Red
100115104,5/1/2016,3,12,12,Red
100115104,6/1/2016,3,12,12,Yellow
100115002,9/1/2015,3,9,9,Yellow
100115002,10/1/2015,3,10,9,Green
100115002,1/1/2016,3,13,9,Green
100115002,2/1/2016,3,14,9,Green
100115002,3/1/2016,3,14,9,Green
100115002,4/1/2016,3,15,10,Green
100115002,5/1/2016,3,15,10,Green
100115059,9/1/2015,3,8,9,Red
100115059,10/1/2015,3,8,9,Red
100115059,1/1/2016,3,9,9,Red
100115059,2/1/2016,3,9,9,Red
100115059,3/1/2016,3,9,9,Red
100115059,4/1/2016,3,10,9,Red
100115059,5/1/2016,3,10,9,Red
100115059,6/1/2016,3,10,9,Yellow
100115098,9/1/2015,3,7,9,Red
100115098,10/1/2015,3,7,9,Red
100115098,1/1/2016,3,8,9,Red
100115098,2/1/2016,3,9,9,Red
100115098,3/1/2016,3,9,9,Red
100115098,4/1/2016,3,9,12,Red
100115098,5/1/2016,3,9,12,Red
100115098,6/1/2016,3,9,12,Yellow
100115016,9/1/2015,3,10,11,Green
100115016,10/1/2015,3,11,11,Green
100115016,1/1/2016,3,12,12,Green
100115016,2/1/2016,3,13,12,Green
100115016,3/1/2016,3,13,12,Green
100115031,9/1/2015,3,7,9,Red
100115031,10/1/2015,3,8,9,Yellow
100115031,1/1/2016,3,10,9,Red
100115031,2/1/2016,3,10,9,Red
100115031,3/1/2016,3,11,9,Red
100115031,4/1/2016,3,12,10,Red
100115031,5/1/2016,3,12,10,Red
100115031,6/1/2016,3,12,10,Yellow
100115060,9/1/2015,3,11,9,Green
100115060,10/1/2015,3,12,9,Green
100115060,1/1/2016,3,13,9,Green
100115060,2/1/2016,3,13,9,Green
100115060,3/1/2016,3,14,9,Green
100115060,4/1/2016,3,14,12,Green
100115060,5/1/2016,3,14,12,Green
100115060,6/1/2016,3,14,12,Yellow
100115128,9/1/2015,3,11,10,Green
100115128,10/1/2015,3,12,10,Green
100115128,1/1/2016,3,14,10,Green
100115128,2/1/2016,3,15,10,Green
100115128,3/1/2016,3,15,10,Green
100115128,4/1/2016,3,16,12,Green
100115128,5/1/2016,3,16,12,Green
100115128,6/1/2016,3,16,12,Yellow
100115008,9/1/2015,3,7,7,Red
100115008,10/1/2015,3,7,7,Red
100115008,1/1/2016,3,8,8,Red
100115008,2/1/2016,3,8,8,Red
100115008,3/1/2016,3,8,8,Red
100115008,4/1/2016,3,9,10,Red
100115008,5/1/2016,3,9,10,Red
100115008,6/1/2016,3,9,10,Yellow
100115030,9/1/2015,3,10,11,Yellow
100115030,10/1/2015,3,10,11,Green
100115030,1/1/2016,3,14,11,Green
100115030,2/1/2016,3,14,11,Green
100115030,3/1/2016,3,15,11,Green
100115082,9/1/2015,3,NA,7,Yellow
100115082,10/1/2015,3,NA,7,Yellow
100115082,1/1/2016,3,NA,8,Yellow
100115082,2/1/2016,3,8,8,Red
100115082,3/1/2016,3,8,8,Red
100115082,4/1/2016,3,8,8,Red
100115082,5/1/2016,3,9,8,Red
100115070,9/1/2015,3,11,10,Green
100115070,10/1/2015,3,12,10,Green
100115070,1/1/2016,3,14,11,Green
100115070,2/1/2016,3,15,11,Green
100115070,3/1/2016,3,15,11,Green
100115651,9/1/2015,3,9,7,Yellow
100115651,10/1/2015,3,9,7,Yellow
100115651,1/1/2016,3,11,8,Yellow
100115651,2/1/2016,3,12,8,Yellow
100115651,3/1/2016,3,12,8,Yellow
100115651,4/1/2016,3,12,8,Red
100115651,5/1/2016,3,12,8,Red
100115651,6/1/2016,3,12,8,Yellow
100115650,9/1/2015,3,9,7,Yellow
100115650,10/1/2015,3,9,7,Yellow
100115650,1/1/2016,3,10,8,Red
100115650,2/1/2016,3,11,8,Red
100115650,3/1/2016,3,11,8,Red
100115650,4/1/2016,3,11,9,Red
100115650,5/1/2016,3,12,9,Red
100115650,6/1/2016,3,12,9,Yellow
100115047,9/1/2015,3,8,10,Yellow
100115047,10/1/2015,3,9,10,Yellow
100115047,1/1/2016,3,9,10,Red
100115047,2/1/2016,3,10,10,Red
100115047,3/1/2016,3,10,10,Red
100115047,4/1/2016,3,11,11,Red
100115047,5/1/2016,3,11,11,Red
100115047,6/1/2016,3,11,11,Yellow
100115001,9/1/2015,2,NA,5,Yellow
100115001,10/1/2015,2,NA,5,Yellow
100115001,11/1/2015,2,NA,5,Yellow
100115001,12/1/2015,2,NA,5,Yellow
100115001,1/1/2016,2,NA,5,Yellow
100115001,2/1/2016,2,5,5,Red
100115001,3/1/2016,2,5,5,Red
100115001,4/1/2016,2,5,8,Red
100115001,5/1/2016,2,5,8,Red
100115954,9/1/2015,3,15,11,Green
100115954,10/1/2015,3,16,11,Green
100115954,1/1/2016,3,17,11,Green
100115046,9/1/2015,3,8,7,Red
100115046,10/1/2015,3,9,7,Yellow
100115046,1/1/2016,3,10,8,Red
